,Name,Name_tag,ID,Position
156,Layvin Kurzawa,layvin-kurzawa,126710,Left-Back
157,Zeki Celik,zeki-celik,251075,Right-Back
158,Nikola Maksimovic,nikola-maksimovic,124715,Centre-Back
159,Philipp Max,philipp-max,111275,Left-Back
160,Nicolas N'Koulou,nicolas-nkoulou,60577,Centre-Back
161,Angeliño,angelino,277179,Left-Back
162,Elseid Hysaj,elseid-hysaj,200056,Right-Back
163,Mattia Caldara,mattia-caldara,197470,Centre-Back
164,Fabian Schär,fabian-schar,135343,Centre-Back
165,Aïssa Mandi,aissa-mandi,80293,Centre-Back
166,Juan Foyth,juan-foyth,480763,Centre-Back
167,Renan Lodi,renan-lodi,476352,Left-Back
168,Reece James,reece-james,472423,Right-Back
169,Max Aarons,max-aarons,471690,Right-Back
170,Ozan Kabak,ozan-kabak,361260,Centre-Back
171,Cristian Romero,cristian-romero,355915,Centre-Back
172,Luca Pellegrini,luca-pellegrini,346567,Left-Back
173,Noussair Mazraoui,noussair-mazraoui,340456,Right-Back
174,Unai Núñez,unai-nunez,338285,Centre-Back
175,Diego Carlos,diego-carlos,329145,Centre-Back
176,Denzel Dumfries,denzel-dumfries,321528,Right-Back
177,Ferro,ferro,294321,Centre-Back
178,Jason Denayer,jason-denayer,277114,Centre-Back
179,Hans Hateboer,hans-hateboer,275303,Right-Back
180,Davide Calabria,davide-calabria,262523,Right-Back
181,Guillermo Maripán,guillermo-maripan,249730,Centre-Back
182,Jan Bednarek,jan-bednarek,243028,Centre-Back
183,Duje Caleta-Car,duje-caleta-car,238266,Centre-Back
184,Adam Webster,adam-webster,212847,Centre-Back
185,Benjamin Henrichs,benjamin-henrichs,202591,Right-Back
186,Karim Rekik,karim-rekik,182579,Centre-Back
187,Davide Zappacosta,davide-zappacosta,173859,Right-Back
188,Giovanni Di Lorenzo,giovanni-di-lorenzo,169880,Right-Back
189,Willy Boly,willy-boly,142310,Centre-Back
190,Francesco Acerbi,francesco-acerbi,131075,Centre-Back
191,Juan Bernat,juan-bernat,126719,Left-Back
192,Kévin Malcuit,kevin-malcuit,126711,Right-Back
193,John Anthony Brooks,john-anthony-brooks,124732,Centre-Back
194,Hugo Mallo,hugo-mallo,119905,Right-Back
195,Andrea Conti,andrea-conti,111227,Right-Back
196,Shkodran Mustafi,shkodran-mustafi,88590,Centre-Back
197,Mário Rui,mario-rui,87884,Left-Back
198,Danny da Costa,danny-da-costa,85906,Right-Back
199,Diego Godín,diego-godin,54928,Centre-Back
200,David Luiz,david-luiz,46741,Centre-Back
201,Mateo Musacchio,mateo-musacchio,45653,Centre-Back
202,Jonny Evans,jonny-evans,42412,Centre-Back
203,Jérôme Boateng,jerome-boateng,26485,Centre-Back
204,Leonardo Balerdi,leonardo-balerdi,575998,Centre-Back
205,Moussa Niakhaté,moussa-niakhate,291200,Centre-Back
206,Kenny Lala,kenny-lala,174196,Right-Back
207,Mitchell Weiser,mitchell-weiser,119211,Right-Back
208,Daniel Wass,daniel-wass,63463,Right-Back
209,Léo Dubois,leo-dubois,236400,Right-Back
210,Edson Álvarez,edson-alvarez,401356,Centre-Back
211,Ben Godfrey,ben-godfrey,343475,Centre-Back
212,Matt Targett,matt-targett,250478,Left-Back
213,Rafael Tolói,rafael-toloi,72441,Centre-Back
214,Danilo D'Ambrosio,danilo-dambrosio,55769,Right-Back
215,Ryan Bertrand,ryan-bertrand,40611,Left-Back
216,Lucas Martínez Quarta,lucas-martinez-quarta,373373,Centre-Back
217,Stefan Lainer,stefan-lainer,85791,Right-Back
218,Luiz Felipe,luiz-felipe,457931,Centre-Back
219,Jamal Lewis,jamal-lewis,346018,Left-Back
220,Dalbert,dalbert,312862,Left-Back
221,Pol Lirola,pol-lirola,298975,Right-Back
222,Alfie Mawson,alfie-mawson,287431,Centre-Back
223,Fabián Balbuena,fabian-balbuena,285548,Centre-Back
224,Gian Marco Ferrari,gian-marco-ferrari,277167,Centre-Back
225,Rob Holding,rob-holding,253341,Centre-Back
226,Douglas Santos,douglas-santos,220793,Left-Back
227,Björn Engels,bjorn-engels,193469,Centre-Back
228,Ludwig Augustinsson,ludwig-augustinsson,170646,Left-Back
229,Djibril Sidibé,djibril-sidibe,161869,Right-Back
230,Terence Kongolo,terence-kongolo,152651,Centre-Back
231,Salif Sané,salif-sane,126534,Centre-Back
232,Cristiano Biraghi,cristiano-biraghi,124555,Left-Back
233,Shane Duffy,shane-duffy,119269,Centre-Back
234,Phil Jones,phil-jones,117996,Centre-Back
235,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,106405,Centre-Back
236,Steve Cook,steve-cook,90836,Centre-Back
237,Mattia De Sciglio,mattia-de-sciglio,88682,Right-Back
238,Martin Hinteregger,martin-hinteregger,85789,Centre-Back
239,Kevin Vogt,kevin-vogt,84435,Centre-Back
240,Seamus Coleman,seamus-coleman,68390,Right-Back
241,Patrick van Aanholt,patrick-van-aanholt,52119,Left-Back
242,Mamadou Sakho,mamadou-sakho,47713,Centre-Back
243,Lisandro Martínez,lisandro-martinez,480762,Centre-Back
244,William,william,341710,Right-Back
245,Maximilian Mittelstädt,maximilian-mittelstadt,282660,Left-Back
246,Pedro Porro,pedro-porro,553875,Right-Back
247,Adrià Pedrosa,adria-pedrosa,501418,Left-Back
248,Chris Mepham,chris-mepham,480987,Centre-Back
249,Gabriel Magalhães,gabriel-magalhaes,435338,Centre-Back
250,Gonzalo Montiel,gonzalo-montiel,402733,Right-Back
251,Rogério,rogerio,401527,Left-Back
252,Francisco Montero,francisco-montero,396333,Centre-Back
253,Ethan Ampadu,ethan-ampadu,392771,Centre-Back
254,Marcelo Saracchi,marcelo-saracchi,373916,Left-Back
255,Marash Kumbulla,marash-kumbulla,371371,Centre-Back
256,Fernando Calero,fernando-calero,357884,Centre-Back
257,Rúben Vinagre,ruben-vinagre,357158,Left-Back
258,Axel Tuanzebe,axel-tuanzebe,342046,Centre-Back
259,Kyle Walker-Peters,kyle-walker-peters,341051,Right-Back
260,Takehiro Tomiyasu,takehiro-tomiyasu,331560,Right-Back
261,Robin Koch,robin-koch,328784,Centre-Back
262,Fodé Ballo-Touré,fode-ballo-toure,296422,Left-Back
263,Jorge Meré,jorge-mere,286779,Centre-Back
264,Marc Cucurella,marc-cucurella,284857,Left-Back
265,Emanuel Mammana,emanuel-mammana,275512,Centre-Back
266,Maximilian Wöber,maximilian-wober,263361,Centre-Back
267,Carlos Salcedo,carlos-salcedo,256866,Centre-Back
268,Jesús Vallejo,jesus-vallejo,251896,Centre-Back
269,Diego Rico,diego-rico,249513,Left-Back
270,Ola Aina,ola-aina,236490,Right-Back
271,Aritz Elustondo,aritz-elustondo,229804,Centre-Back
272,Jordan Torunarigha,jordan-torunarigha,227110,Centre-Back
273,Jack O'Connell,jack-oconnell,212829,Centre-Back
274,Joseba Zaldua,joseba-zaldua,197135,Right-Back
275,Kevin Mbabu,kevin-mbabu,183321,Right-Back
276,Arthur Masuaku,arthur-masuaku,181380,Left-Back
277,Berat Djimsiti,berat-djimsiti,165513,Centre-Back
278,Cristiano Piccini,cristiano-piccini,163086,Right-Back
279,Solomon Kvirkvelia,solomon-kvirkvelia,157391,Centre-Back
280,Pablo,pablo,149577,Centre-Back
281,Youssouf Sabaly,youssouf-sabaly,135492,Right-Back
282,Benjamin Stambouli,benjamin-stambouli,127160,Centre-Back
283,Adama Soumaoro,adama-soumaoro,126673,Centre-Back
284,José Luis Palomino,jose-luis-palomino,125020,Centre-Back
285,John Egan,john-egan,121324,Centre-Back
286,Cédric Soares,cedric-soares,112988,Right-Back
287,Jonas Hector,jonas-hector,108537,Left-Back
288,Sebastián Coates,sebastian-coates,102427,Centre-Back
289,Marcos Rojo,marcos-rojo,93176,Centre-Back
290,Eliaquim Mangala,eliaquim-mangala,90681,Centre-Back
291,Marvin Plattenhardt,marvin-plattenhardt,89592,Left-Back
292,Yaroslav Rakitskiy,yaroslav-rakitskiy,89222,Centre-Back
293,Ricardo Rodríguez,ricardo-rodriguez,86784,Left-Back
294,Nathaniel Clyne,nathaniel-clyne,85177,Right-Back
295,Ben Mee,ben-mee,74810,Centre-Back
296,Mario Gaspar,mario-gaspar,73250,Right-Back
297,Víctor Laguardia,victor-laguardia,67080,Centre-Back
298,Sidnei,sidnei,27374,Centre-Back
299,Lloyd Kelly,lloyd-kelly,480116,Left-Back
300,Joakim Maehle,joakim-maehle,369674,Right-Back
301,Frédéric Guilbert,frederic-guilbert,354352,Right-Back
302,Panagiotis Retsos,panagiotis-retsos,324351,Centre-Back
303,Filip Benkovic,filip-benkovic,293168,Centre-Back
304,Jeremiah St. Juste,jeremiah-st-juste,288253,Centre-Back
305,Youssouf Koné,youssouf-kone,274484,Left-Back
306,Stefan Posch,stefan-posch,223974,Centre-Back
307,Alberto Moreno,alberto-moreno,207917,Left-Back
308,Timo Baumgartl,timo-baumgartl,187491,Centre-Back
309,Christophe Hérelle,christophe-herelle,170544,Centre-Back
310,David López,david-lopez,129444,Centre-Back
311,Kaan Ayhan,kaan-ayhan,119031,Centre-Back
312,Christian Günter,christian-gunter,93707,Left-Back
313,Rafael,rafael,61892,Right-Back
314,Adam Smith,adam-smith,61841,Right-Back
315,Aleksandar Dragovic,aleksandar-dragovic,59032,Centre-Back
316,Medhi Benatia,medhi-benatia,45124,Centre-Back
317,Sven Bender,sven-bender,29993,Centre-Back
318,Stanley Nsoki,stanley-nsoki,371141,Left-Back
319,Luis Abram,luis-abram,330684,Centre-Back
320,Georgiy Dzhikiya,georgiy-dzhikiya,185024,Centre-Back
321,Jean-Clair Todibo,jean-clair-todibo,605184,Centre-Back
322,Strahinja Pavlovic,strahinja-pavlovic,574671,Centre-Back
323,Valentin Rosier,valentin-rosier,441170,Right-Back
324,Jhon Lucumí,jhon-lucumi,413565,Centre-Back
325,Ezri Konsa,ezri-konsa,413403,Centre-Back
326,Lyanco,lyanco,379807,Centre-Back
327,Joseph Aidoo,joseph-aidoo,358250,Centre-Back
328,Faitout Maouassa,faitout-maouassa,357072,Left-Back
329,Rick van Drongelen,rick-van-drongelen,354340,Centre-Back
330,Andrea Cistana,andrea-cistana,337381,Centre-Back
331,Ramy Bensebaini,ramy-bensebaini,284732,Left-Back
332,Samuel Gigot,samuel-gigot,276896,Centre-Back
333,Marlon,marlon,273236,Centre-Back
334,Jonjoe Kenny,jonjoe-kenny,258883,Right-Back
335,DeAndre Yedlin,deandre-yedlin,255916,Right-Back
336,Wesley Hoedt,wesley-hoedt,253765,Centre-Back
337,Alexander Djiku,alexander-djiku,250844,Centre-Back
338,Jordan Amavi,jordan-amavi,241229,Left-Back
339,Denis Vavro,denis-vavro,239962,Centre-Back
340,Rubén Peña,ruben-pena,238868,Right-Back
341,Kenny Tete,kenny-tete,206746,Right-Back
342,Ruben Aguilar,ruben-aguilar,203746,Right-Back
343,Milos Veljkovic,milos-veljkovic,202228,Centre-Back
344,Waldemar Anton,waldemar-anton,193004,Centre-Back
345,Álvaro González,alvaro-gonzalez,183647,Centre-Back
346,Bartosz Bereszynski,bartosz-bereszynski,144143,Right-Back
347,Jeison Murillo,jeison-murillo,131102,Centre-Back
348,Ben Gibson,ben-gibson,128904,Centre-Back
349,Joël Veltman,joel-veltman,111195,Right-Back
350,Robin Knoche,robin-knoche,94201,Centre-Back
351,Sergi Gómez,sergi-gomez,92947,Centre-Back
352,Aaron Cresswell,aaron-cresswell,92571,Left-Back
353,André Almeida,andre-almeida,83466,Right-Back
354,Hiroki Sakai,hiroki-sakai,83002,Right-Back
355,Christian Kabasele,christian-kabasele,81512,Centre-Back
356,Martín Montoya,martin-montoya,68645,Right-Back
357,Néstor Araujo,nestor-araujo,64134,Centre-Back
358,Matteo Darmian,matteo-darmian,54906,Right-Back
359,Angelo Ogbonna,angelo-ogbonna,48002,Centre-Back
360,Kamil Glik,kamil-glik,46552,Centre-Back
361,Aleksandar Kolarov,aleksandar-kolarov,46156,Left-Back
362,Domagoj Vida,domagoj-vida,46083,Centre-Back
363,Nacho Monreal,nacho-monreal,43003,Left-Back
364,Ezequiel Garay,ezequiel-garay,35939,Centre-Back
365,Ramiro Funes Mori,ramiro-funes-mori,11111,Centre-Back
366,Aihen Muñoz,aihen-munoz,517842,Left-Back
367,Martin Aguirregabiria,martin-aguirregabiria,483573,Right-Back
368,Léo Duarte,leo-duarte,312678,Centre-Back
369,Marin Pongracic,marin-pongracic,282144,Centre-Back
370,Christian Luyindama,christian-luyindama,262793,Centre-Back
371,Tin Jedvaj,tin-jedvaj,206386,Centre-Back
372,Cristian Ramírez,cristian-ramirez,189485,Left-Back
373,Uros Spajic,uros-spajic,160222,Centre-Back
374,Dominique Heintz,dominique-heintz,110036,Centre-Back
375,Sergio Escudero,sergio-escudero,93935,Left-Back
376,Arthur Zagre,arthur-zagre,536477,Left-Back
377,Brandon Williams,brandon-williams,507700,Left-Back
378,Marcos Senesi,marcos-senesi,469781,Centre-Back
379,Eric García,eric-garcia,466794,Centre-Back
380,Jayden Bogle,jayden-bogle,465717,Right-Back
381,Rodrigo Becão,rodrigo-becao,410158,Centre-Back
382,Yan Valery,yan-valery,406008,Right-Back
383,Mason Holgate,mason-holgate,348623,Centre-Back
384,Kelvin Amian,kelvin-amian,344072,Right-Back
385,Timothy Fosu-Mensah,timothy-fosu-mensah,315131,Right-Back
386,Dael Fry,dael-fry,314140,Centre-Back
387,Kasim Adams,kasim-adams,263801,Centre-Back
388,Kevin Danso,kevin-danso,263236,Centre-Back
389,Florent Hadergjonaj,florent-hadergjonaj,238809,Right-Back
390,Simon Deli,simon-deli,234124,Centre-Back
391,Philipp Lienhart,philipp-lienhart,225657,Centre-Back
392,Rick Karsdorp,rick-karsdorp,205006,Right-Back
393,Álex Moreno,alex-moreno,193098,Left-Back
394,Omar Colley,omar-colley,174733,Centre-Back
395,Prince Gouano,prince-gouano,171410,Centre-Back
396,Paul Dummett,paul-dummett,170321,Left-Back
397,Jack Stephens,jack-stephens,163744,Centre-Back
398,Jetro Willems,jetro-willems,146258,Left-Back
399,Ryan Fredericks,ryan-fredericks,140191,Right-Back
400,Liam Moore,liam-moore,128906,Centre-Back
401,Juan Jesus,juan-jesus,121985,Centre-Back
402,Federico Fernández,federico-fernandez,85475,Centre-Back
403,Christopher Schindler,christopher-schindler,57842,Centre-Back
404,Marcelo,marcelo,52920,Centre-Back
405,Benjamin Hübner,benjamin-hubner,52348,Centre-Back
406,Domagoj Bradaric,domagoj-bradaric,357796,Left-Back
407,Sebastiaan Bornauw,sebastiaan-bornauw,338629,Centre-Back
408,Felix Uduokhai,felix-uduokhai,278343,Centre-Back
409,Wallace,wallace,225335,Centre-Back
410,Almamy Touré,almamy-toure,216181,Centre-Back
411,Lucas Lima,lucas-lima,182323,Left-Back
412,Nicola Murru,nicola-murru,171399,Left-Back
413,Bruno Martins Indi,bruno-martins-indi,112052,Centre-Back
