Name,Name_tag,ID,Position
Denis Suárez,denis-suarez,165007,Left Winger
Grégoire Defrel,gregoire-defrel,163222,Centre-Forward
M'Baye Niang,mbaye-niang,157501,Centre-Forward
Andre Gray,andre-gray,120565,Centre-Forward
Michael Gregoritsch,michael-gregoritsch,120205,Second Striker
Manolo Gabbiadini,manolo-gabbiadini,112343,Centre-Forward
Michail Antonio,michail-antonio,104124,Right Winger
Tiquinho Soares,tiquinho-soares,103381,Centre-Forward
Daniel Ginczek,daniel-ginczek,79501,Centre-Forward
Taison,taison,76028,Left Winger
Luuk de Jong,luuk-de-jong,72522,Centre-Forward
André Schürrle,andre-schurrle,58205,Left Winger
Chicharito,chicharito,50935,Centre-Forward
Max Kruse,max-kruse,36182,Second Striker
Marcos Paulo,marcos-paulo,612496,Centre-Forward
Rémi Oudin,remi-oudin,399543,Right Winger
Matías Vargas,matias-vargas,376211,Left Winger
Wanderson,wanderson,236202,Right Winger
Marlos,marlos,68778,Right Winger
Fedor Smolov,fedor-smolov,50355,Centre-Forward
Daniel Sturridge,daniel-sturridge,47082,Centre-Forward
Agustín Urzi,agustin-urzi,636441,Left Winger
Pedro De La Vega,pedro-de-la-vega,618984,Left Winger
Ander Barrenetxea,ander-barrenetxea,616369,Left Winger
Julián Álvarez,julian-alvarez,576024,Centre-Forward
Sebastiano Esposito,sebastiano-esposito,538918,Centre-Forward
Bryan Gil,bryan-gil,537382,Left Winger
Willem Geubbels,willem-geubbels,463620,Left Winger
Cucho Hernández,cucho-hernandez,459463,Centre-Forward
Ezequiel Barco,ezequiel-barco,456623,Left Winger
Oscar Melendo,oscar-melendo,448344,Right Winger
Samuel Kalu,samuel-kalu,424051,Right Winger
David Okereke,david-okereke,413605,Centre-Forward
Takefusa Kubo,takefusa-kubo,405398,Right Winger
Adam Ounas,adam-ounas,400485,Right Winger
Ritsu Doan,ritsu-doan,358504,Right Winger
Loren Morón,loren-moron,354741,Centre-Forward
Yann Karamoh,yann-karamoh,324804,Right Winger
Jarrod Bowen,jarrod-bowen,314875,Right Winger
Yeferson Soteldo,yeferson-soteldo,312294,Left Winger
Oliver McBurnie,oliver-mcburnie,298477,Centre-Forward
Carles Pérez,carles-perez,282810,Right Winger
Marco Richter,marco-richter,279009,Left Winger
José Luis Morales,jose-luis-morales,252677,Centre-Forward
Johannes Eggestein,johannes-eggestein,251303,Right Winger
Oussama Idrissi,oussama-idrissi,241391,Left Winger
Steve Mounié,steve-mounie,238639,Centre-Forward
Trezeguet,trezeguet,234189,Left Winger
Sofiane Boufal,sofiane-boufal,232271,Left Winger
Jaime Mata,jaime-mata,227961,Centre-Forward
Munir El Haddadi,munir-el-haddadi,223725,Centre-Forward
Roger Martí,roger-marti,212391,Centre-Forward
Josh Murphy,josh-murphy,199528,Left Winger
Britt Assombalonga,britt-assombalonga,186172,Centre-Forward
Anwar El Ghazi,anwar-el-ghazi,183720,Right Winger
Gaëtan Laborde,gaetan-laborde,181378,Centre-Forward
Jürgen Locadia,jurgen-locadia,166240,Centre-Forward
Ivan Cavaleiro,ivan-cavaleiro,149716,Right Winger
Vincent Aboubakar,vincent-aboubakar,147487,Centre-Forward
Cristian Tello,cristian-tello,141834,Left Winger
Lei Wu,lei-wu,140436,Left Winger
Bruma,bruma,139396,Left Winger
Benito Raman,benito-raman,112930,Left Winger
Ricardo Goulart,ricardo-goulart,106076,Second Striker
Portu,portu,99353,Right Winger
Martin Braithwaite,martin-braithwaite,95732,Centre-Forward
Johann Berg Gudmundsson,johann-berg-gudmundsson,89231,Right Winger
Admir Mehmedi,admir-mehmedi,66058,Second Striker
Leonardo Pavoletti,leonardo-pavoletti,64793,Centre-Forward
Ashley Barnes,ashley-barnes,63200,Centre-Forward
Victor Moses,victor-moses,59866,Right Winger
Nacer Chadli,nacer-chadli,59631,Left Winger
Bas Dost,bas-dost,56331,Centre-Forward
Lars Stindl,lars-stindl,48298,Second Striker
Teemu Pukki,teemu-pukki,46972,Centre-Forward
Stevan Jovetic,stevan-jovetic,46104,Centre-Forward
Mario Balotelli,mario-balotelli,45146,Centre-Forward
Mario Mandzukic,mario-mandzukic,34572,Centre-Forward
Eran Zahavi,eran-zahavi,85093,Second Striker
Eddie Salcedo,eddie-salcedo,459661,Centre-Forward
Rabbi Matondo,rabbi-matondo,404384,Right Winger
Sam Lammers,sam-lammers,386914,Centre-Forward
Roger Guedes,roger-guedes,348263,Right Winger
