,Name,Name_tag,ID,Position
435,Wesley Saïd,wesley-said,182916,Right Winger
436,Garry Rodrigues,garry-rodrigues,170895,Left Winger
437,Frank Acheampong,frank-acheampong,157160,Left Winger
438,Nicolai Jörgensen,nicolai-jorgensen,100399,Centre-Forward
439,Amin Younes,amin-younes,96167,Left Winger
440,Nicola Sansone,nicola-sansone,82048,Left Winger
441,Sergi Enrich,sergi-enrich,81988,Centre-Forward
442,Gabriel Veron,gabriel-veron,627221,Right Winger
443,Silas Wamangituka,silas-wamangituka,612826,Centre-Forward
444,Sebastián Villa,sebastian-villa,493000,Right Winger
445,Pedro Neto,pedro-neto,487465,Second Striker
446,Luis Díaz,luis-diaz,480692,Left Winger
447,Jan Hurtado,jan-hurtado,459115,Centre-Forward
448,Luiz Araújo,luiz-araujo,435485,Left Winger
449,Lebo Mothiba,lebo-mothiba,427161,Centre-Forward
450,Pietro Pellegri,pietro-pellegri,364133,Centre-Forward
451,Ruben Vargas,ruben-vargas,345886,Left Winger
452,Tahith Chong,tahith-chong,344830,Right Winger
453,Linton Maina,linton-maina,335103,Right Winger
454,Isaac Mbenza,isaac-mbenza,260806,Right Winger
455,Yoshinori Muto,yoshinori-muto,230541,Centre-Forward
456,Matheus Pereira,matheus-pereira,225984,Right Winger
457,Luciano Vietto,luciano-vietto,214316,Centre-Forward
458,Siebe Schrijvers,siebe-schrijvers,208552,Second Striker
459,Moussa Konaté,moussa-konate,192774,Centre-Forward
460,Naïm Sliti,naim-sliti,184491,Left Winger
461,Callum Robinson,callum-robinson,183299,Left Winger
462,Kenneth Zohore,kenneth-zohore,135213,Centre-Forward
463,Rogelio Funes Mori,rogelio-funes-mori,135082,Centre-Forward
464,André Carrillo,andre-carrillo,135057,Right Winger
465,Kevin Lasagna,kevin-lasagna,131951,Centre-Forward
466,Rachid Ghezzal,rachid-ghezzal,118287,Right Winger
467,Viktor Fischer,viktor-fischer,95755,Left Winger
468,Francesco Caputo,francesco-caputo,84765,Centre-Forward
469,Matt Phillips,matt-phillips,77274,Right Winger
470,Valère Germain,valere-germain,60540,Centre-Forward
471,Anthony Modeste,anthony-modeste,50512,Centre-Forward
472,Konstantinos Mitroglou,konstantinos-mitroglou,34944,Centre-Forward
473,Bruno Henrique,bruno-henrique,353108,Left Winger
474,Shapi Suleymanov,shapi-suleymanov,335725,Right Winger
475,Paul Onuachu,paul-onuachu,272855,Centre-Forward
476,Jhon Córdoba,jhon-cordoba,185245,Centre-Forward
